# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-15 13:42:34 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07109500 ARKANSAS RIVER NEAR AVONDALE, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 07109500
#            TS   parameter     statistic     Description
#         18052       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	18052_00095_00003	18052_00095_00003_cd
USGS	07109500	2008-06-30	311	A
USGS	07109500	2008-07-01	311	A
USGS	07109500	2008-07-02	302	A
USGS	07109500	2008-07-03	314	A
USGS	07109500	2008-07-04	329	A
USGS	07109500	2008-07-05	315	A
USGS	07109500	2008-07-06	313	A
USGS	07109500	2008-07-07	308	A
USGS	07109500	2008-07-08	319	A
USGS	07109500	2008-07-09	309	A
USGS	07109500	2008-07-10	310	A
USGS	07109500	2008-07-11	320	A
USGS	07109500	2008-07-12	315	A
USGS	07109500	2008-07-13	315	A
USGS	07109500	2008-07-14	310	A
USGS	07109500	2008-07-15	289	A
USGS	07109500	2008-07-16	288	A
USGS	07109500	2008-07-17	302	A
USGS	07109500	2008-07-18	306	A
USGS	07109500	2008-07-19	320	A
USGS	07109500	2008-07-20	352	A
USGS	07109500	2008-07-21	337	A
USGS	07109500	2008-07-22	333	A
USGS	07109500	2008-07-23	329	A
USGS	07109500	2008-07-24	327	A
USGS	07109500	2008-07-25	329	A
USGS	07109500	2008-07-26	330	A
USGS	07109500	2008-07-27	329	A
USGS	07109500	2008-07-28	324	A
USGS	07109500	2008-07-29	334	A
USGS	07109500	2008-07-30	371	A
USGS	07109500	2008-07-31	366	A
USGS	07109500	2008-08-01	363	A
USGS	07109500	2008-08-02	364	A
USGS	07109500	2008-08-03	365	A
USGS	07109500	2008-08-04	384	A
USGS	07109500	2008-08-05	393	A
USGS	07109500	2008-08-06	426	A
USGS	07109500	2008-08-07	421	A
USGS	07109500	2008-08-08	412	A
USGS	07109500	2008-08-09	414	A
USGS	07109500	2008-08-10	405	A
USGS	07109500	2008-08-11	433	A
USGS	07109500	2008-08-12	423	A
USGS	07109500	2008-08-13	412	A
USGS	07109500	2008-08-14	422	A
USGS	07109500	2008-08-15	467	A
USGS	07109500	2008-08-16	485	A
USGS	07109500	2008-08-17	559	A
USGS	07109500	2008-08-18	544	A
USGS	07109500	2008-08-19	548	A
USGS	07109500	2008-08-20	569	A
USGS	07109500	2008-08-21	614	A
USGS	07109500	2008-08-22	623	A
USGS	07109500	2008-08-23	669	A
USGS	07109500	2008-08-24	703	A
USGS	07109500	2008-08-25	712	A
USGS	07109500	2008-08-26	700	A
USGS	07109500	2008-08-27	675	A
USGS	07109500	2008-08-28	607	A
USGS	07109500	2008-08-29	628	A
USGS	07109500	2008-08-30	663	A
USGS	07109500	2008-08-31	704	A
USGS	07109500	2008-09-01	710	A
USGS	07109500	2008-09-02	705	A
USGS	07109500	2008-09-03	717	A
USGS	07109500	2008-09-04	663	A
USGS	07109500	2008-09-05	691	A
USGS	07109500	2008-09-06	726	A
USGS	07109500	2008-09-07	727	A
USGS	07109500	2008-09-08	727	A
USGS	07109500	2008-09-09	741	A
USGS	07109500	2008-09-10	774	A
USGS	07109500	2008-09-11	749	A
USGS	07109500	2008-09-12	689	A
USGS	07109500	2008-09-13	658	A
USGS	07109500	2008-09-14	717	A
USGS	07109500	2008-09-15	732	A
USGS	07109500	2008-09-16	743	A
USGS	07109500	2008-09-17	764	A
USGS	07109500	2008-09-18	792	A
USGS	07109500	2008-09-19	790	A
USGS	07109500	2008-09-20	734	A
USGS	07109500	2008-09-21	567	A
USGS	07109500	2008-09-22	657	A
USGS	07109500	2008-09-23	794	A
USGS	07109500	2008-09-24	823	A
USGS	07109500	2008-09-25	826	A
USGS	07109500	2008-09-26	821	A
USGS	07109500	2008-09-27	811	A
USGS	07109500	2008-09-28	775	A
USGS	07109500	2008-09-29	740	A
USGS	07109500	2008-09-30	749	A
