# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-15 13:48:53 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07128500 PURGATOIRE RIVER NEAR LAS ANIMAS, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07128500
#            TS   parameter     statistic     Description
#         18236       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	18236_00095_00003	18236_00095_00003_cd
USGS	07128500	1990-11-06	2930	A
USGS	07128500	1990-11-07	3030	A
USGS	07128500	1990-11-08	2870	A
USGS	07128500	1990-11-09	2910	A
USGS	07128500	1990-11-10	2950	A
USGS	07128500	1990-11-11	2990	A
USGS	07128500	1990-11-12	3080	A
USGS	07128500	1990-11-13	3090	A
USGS	07128500	1990-11-14	3180	A
USGS	07128500	1990-11-15	3370	A
USGS	07128500	1990-11-16	3600	A
USGS	07128500	1990-11-17	3640	A
USGS	07128500	1990-11-18	3660	A
USGS	07128500	1990-11-19	3650	A
USGS	07128500	1990-11-20	3640	A
USGS	07128500	1990-11-21	3750	A
USGS	07128500	1990-11-22	3770	A
USGS	07128500	1990-11-23	3810	A
USGS	07128500	1990-11-24	3900	A
USGS	07128500	1990-11-25	3920	A
USGS	07128500	1990-11-26	4050	A
USGS	07128500	1990-11-27	4210	A
USGS	07128500	1990-11-28	4220	A
USGS	07128500	1990-11-29	4240	A
USGS	07128500	1990-11-30	4230	A
USGS	07128500	1990-12-01	4090	A
USGS	07128500	1990-12-02	4050	A
USGS	07128500	1990-12-03	4080	A
USGS	07128500	1990-12-04	4120	A
USGS	07128500	1990-12-05	4090	A
USGS	07128500	1990-12-06	3890	A
USGS	07128500	1990-12-07	3870	A
USGS	07128500	1990-12-08	3880	A
USGS	07128500	1990-12-09	3880	A
USGS	07128500	1990-12-10	3860	A
USGS	07128500	1990-12-11	3860	A
USGS	07128500	1990-12-12	3960	A
USGS	07128500	1990-12-13	3990	A
USGS	07128500	1990-12-14	3960	A
USGS	07128500	1990-12-15	4000	A
USGS	07128500	1990-12-16	4050	A
USGS	07128500	1990-12-17	3970	A
USGS	07128500	1990-12-18	3970	A
USGS	07128500	1990-12-19	3930	A
USGS	07128500	1990-12-20	4090	A
USGS	07128500	1990-12-21	4310	A
USGS	07128500	1990-12-22	4460	A
USGS	07128500	1990-12-23	4590	A
USGS	07128500	1990-12-24	4790	A
USGS	07128500	1990-12-25	4870	A
USGS	07128500	1990-12-26	4890	A
USGS	07128500	1990-12-27	4890	A
USGS	07128500	1990-12-28	4800	A
USGS	07128500	1990-12-29	4830	A
USGS	07128500	1990-12-30	4820	A
USGS	07128500	1990-12-31	4690	A
USGS	07128500	1991-01-01	4610	A
USGS	07128500	1991-01-02	4570	A
USGS	07128500	1991-01-03	4520	A
USGS	07128500	1991-01-04	4480	A
USGS	07128500	1991-01-05	4440	A
USGS	07128500	1991-01-06	4400	A
USGS	07128500	1991-01-07	4380	A
USGS	07128500	1991-01-08	4350	A
USGS	07128500	1991-01-09	4320	A
USGS	07128500	1991-01-10	4280	A
USGS	07128500	1991-01-11	4220	A
USGS	07128500	1991-01-12	4190	A
USGS	07128500	1991-01-13	4040	A
USGS	07128500	1991-01-14	3840	A
USGS	07128500	1991-01-15	3710	A
USGS	07128500	1991-01-16	3570	A
USGS	07128500	1991-01-17	3490	A
USGS	07128500	1991-01-18	3460	A
USGS	07128500	1991-01-19	3430	A
USGS	07128500	1991-01-20	3340	A
USGS	07128500	1991-01-21	3370	A
USGS	07128500	1991-01-22	3430	A
USGS	07128500	1991-01-23	3460	A
USGS	07128500	1991-01-24	3500	A
USGS	07128500	1991-01-25	3590	A
USGS	07128500	1991-01-26	3730	A
USGS	07128500	1991-01-27	3770	A
USGS	07128500	1991-01-28	3880	A
USGS	07128500	1991-01-29	3960	A
USGS	07128500	1991-01-30	4020	A
USGS	07128500	1991-01-31	3940	A
USGS	07128500	1991-02-01	3900	A
USGS	07128500	1991-02-02	3870	A
USGS	07128500	1991-02-03	3680	A
USGS	07128500	1991-02-04	3610	A
USGS	07128500	1991-02-05	3510	A
USGS	07128500	1991-02-06	3380	A
USGS	07128500	1991-02-07	3330	A
USGS	07128500	1991-02-08	3410	A
USGS	07128500	1991-02-09	3520	A
USGS	07128500	1991-02-10	3500	A
USGS	07128500	1991-02-11	3410	A
USGS	07128500	1991-02-12	3430	A
USGS	07128500	1991-02-13	3490	A
USGS	07128500	1991-02-14	3550	A
USGS	07128500	1991-02-15	3550	A
USGS	07128500	1991-02-16	3590	A
USGS	07128500	1991-02-17	3620	A
USGS	07128500	1991-02-18	3610	A
USGS	07128500	1991-02-19	3630	A
USGS	07128500	1991-02-20	3570	A
USGS	07128500	1991-02-21	3550	A
USGS	07128500	1991-02-22	3570	A
USGS	07128500	1991-02-23	3660	A
USGS	07128500	1991-02-24	3780	A
USGS	07128500	1991-02-25	3910	A
USGS	07128500	1991-02-26	4050	A
USGS	07128500	1991-02-27	3820	A
USGS	07128500	1991-02-28	3880	A
USGS	07128500	1991-03-01	4230	A
USGS	07128500	1991-03-02	4240	A
USGS	07128500	1991-03-03	4220	A
USGS	07128500	1991-03-04	4090	A
USGS	07128500	1991-03-05	4220	A
USGS	07128500	1991-03-06	4240	A
USGS	07128500	1991-03-07	3840	A
USGS	07128500	1991-03-08	3810	A
USGS	07128500	1991-03-09	3830	A
USGS	07128500	1991-03-10	3880	A
USGS	07128500	1991-03-11	3900	A
USGS	07128500	1991-03-12	3930	A
USGS	07128500	1991-03-13	4020	A
USGS	07128500	1991-03-14	4140	A
USGS	07128500	1991-03-15	3930	A
USGS	07128500	1991-03-16	2900	A
USGS	07128500	1991-03-17	3020	A
USGS	07128500	1991-03-18	3000	A
USGS	07128500	1991-03-19	2980	A
USGS	07128500	1991-03-20	3040	A
USGS	07128500	1991-03-21	3210	A
USGS	07128500	1991-03-22	3560	A
USGS	07128500	1991-03-23	3520	A
USGS	07128500	1991-03-24	3810	A
USGS	07128500	1991-03-25	4400	A
USGS	07128500	1991-03-26	4580	A
USGS	07128500	1991-03-27	3980	A
USGS	07128500	1991-03-28	3950	A
USGS	07128500	1991-03-29	4420	A
USGS	07128500	1991-03-30	4210	A
USGS	07128500	1991-03-31	4200	A
USGS	07128500	1991-04-01	3880	A
USGS	07128500	1991-04-02	4180	A
USGS	07128500	1991-04-03	4320	A
USGS	07128500	1991-04-04	4250	A
USGS	07128500	1991-04-05	4350	A
USGS	07128500	1991-04-06	4360	A
USGS	07128500	1991-04-07	4400	A
USGS	07128500	1991-04-08	4650	A
USGS	07128500	1991-04-09	4730	A
USGS	07128500	1991-04-10	4560	A
USGS	07128500	1991-04-11	4360	A
USGS	07128500	1991-04-12	4300	A
USGS	07128500	1991-04-13	4480	A
USGS	07128500	1991-04-14	4610	A
USGS	07128500	1991-04-15	4740	A
USGS	07128500	1991-04-16	4830	A
USGS	07128500	1991-04-17	4880	A
USGS	07128500	1991-04-18	4910	A
USGS	07128500	1991-04-19	4890	A
USGS	07128500	1991-04-20	4920	A
USGS	07128500	1991-04-21	4930	A
USGS	07128500	1991-04-22	4920	A
USGS	07128500	1991-04-23	4940	A
USGS	07128500	1991-04-24	4920	A
USGS	07128500	1991-04-25	4820	A
USGS	07128500	1991-04-26	4940	A
USGS	07128500	1991-04-27	5020	A
USGS	07128500	1991-04-28	5050	A
USGS	07128500	1991-04-29	5080	A
USGS	07128500	1991-04-30	5020	A
USGS	07128500	1991-05-01	4970	A
USGS	07128500	1991-05-02	4650	A
USGS	07128500	1991-05-03	4950	A
USGS	07128500	1991-05-04	4990	A
USGS	07128500	1991-05-05	4930	A
USGS	07128500	1991-05-06	5050	A
USGS	07128500	1991-05-07	5100	A
USGS	07128500	1991-05-08	5000	A
USGS	07128500	1991-05-09	4900	A
USGS	07128500	1991-05-10	4930	A
USGS	07128500	1991-05-11	4670	A
USGS	07128500	1991-05-12	4940	A
USGS	07128500	1991-05-13	5440	A
USGS	07128500	1991-05-14	5390	A
USGS	07128500	1991-05-15	5320	A
USGS	07128500	1991-05-16	5260	A
USGS	07128500	1991-05-17	5260	A
USGS	07128500	1991-05-18	5200	A
USGS	07128500	1991-05-19	5180	A
USGS	07128500	1991-05-20	5250	A
USGS	07128500	1991-05-21	5250	A
USGS	07128500	1991-05-22	5190	A
USGS	07128500	1991-05-23	5120	A
USGS	07128500	1991-05-24	5110	A
USGS	07128500	1991-05-25	5090	A
USGS	07128500	1991-05-26	4830	A
USGS	07128500	1991-05-27	4520	A
USGS	07128500	1991-05-28	4940	A
USGS	07128500	1991-05-29	4770	A
USGS	07128500	1991-05-30	4970	A
USGS	07128500	1991-05-31	4880	A
USGS	07128500	1991-06-01	4930	A
USGS	07128500	1991-06-02	4740	A
USGS	07128500	1991-06-03	4630	A
USGS	07128500	1991-06-04	4750	A
USGS	07128500	1991-06-05	4490	A
USGS	07128500	1991-06-06	4490	A
USGS	07128500	1991-06-07	4630	A
USGS	07128500	1991-06-08	3820	A
USGS	07128500	1991-06-09	3530	A
USGS	07128500	1991-06-10	3760	A
USGS	07128500	1991-06-11	4150	A
USGS	07128500	1991-06-12	4150	A
USGS	07128500	1991-06-13	4170	A
USGS	07128500	1991-06-14	2860	A
USGS	07128500	1991-06-15	2570	A
USGS	07128500	1991-06-16	2820	A
USGS	07128500	1991-06-17	3260	A
USGS	07128500	1991-06-18	2780	A
USGS	07128500	1991-06-19	2850	A
USGS	07128500	1991-06-20	3410	A
USGS	07128500	1991-06-21	3160	A
USGS	07128500	1991-06-22	3730	A
USGS	07128500	1991-06-23	2850	A
USGS	07128500	1991-06-24	2760	A
USGS	07128500	1991-06-25	4010	A
USGS	07128500	1991-06-26	4930	A
USGS	07128500	1991-06-27	5120	A
USGS	07128500	1991-06-28	4920	A
USGS	07128500	1991-06-29	4640	A
USGS	07128500	1991-06-30	4450	A
USGS	07128500	1991-07-01	3830	A
USGS	07128500	1991-07-02	2050	A
USGS	07128500	1991-07-03	756	A
USGS	07128500	1991-07-04	1000	A
USGS	07128500	1991-07-05	1350	A
USGS	07128500	1991-07-06	1200	A
USGS	07128500	1991-07-07	1100	A
USGS	07128500	1991-07-08	1050	A
USGS	07128500	1991-07-09	974	A
USGS	07128500	1991-07-10	1250	A
USGS	07128500	1991-07-11	1810	A
USGS	07128500	1991-07-12	2260	A
USGS	07128500	1991-07-13	2700	A
USGS	07128500	1991-07-14	2970	A
USGS	07128500	1991-07-15	3020	A
USGS	07128500	1991-07-16	2860	A
USGS	07128500	1991-07-17	3270	A
USGS	07128500	1991-07-18	3290	A
USGS	07128500	1991-07-19	3550	A
USGS	07128500	1991-07-20	3710	A
USGS	07128500	1991-07-21	3620	A
USGS	07128500	1991-07-22	3740	A
USGS	07128500	1991-07-23	3770	A
USGS	07128500	1991-07-24	3370	A
USGS	07128500	1991-07-25	1180	A
USGS	07128500	1991-07-26	1030	A
USGS	07128500	1991-07-27	1460	A
USGS	07128500	1991-07-28	603	A
USGS	07128500	1991-07-29	1580	A
USGS	07128500	1991-07-30	2430	A
USGS	07128500	1991-07-31	2210	A
USGS	07128500	1991-08-01	1890	A
USGS	07128500	1991-08-02	2170	A
USGS	07128500	1991-08-03	2490	A
USGS	07128500	1991-08-04	2930	A
USGS	07128500	1991-08-05	2430	A
USGS	07128500	1991-08-06	412	A
USGS	07128500	1991-08-07	566	A
USGS	07128500	1991-08-08	622	A
USGS	07128500	1991-08-09	694	A
USGS	07128500	1991-08-10	678	A
USGS	07128500	1991-08-11	619	A
USGS	07128500	1991-08-12	577	A
USGS	07128500	1991-08-13	867	A
USGS	07128500	1991-08-14	1060	A
USGS	07128500	1991-08-15	1020	A
USGS	07128500	1991-08-16	1090	A
USGS	07128500	1991-08-17	1650	A
USGS	07128500	1991-08-18	1960	A
USGS	07128500	1991-08-19	1510	A
USGS	07128500	1991-08-20	1940	A
USGS	07128500	1991-08-21	1220	A
USGS	07128500	1991-08-22	1340	A
USGS	07128500	1991-08-23	1070	A
USGS	07128500	1991-08-24	1570	A
USGS	07128500	1991-08-25	2500	A
USGS	07128500	1991-08-26	2500	A
USGS	07128500	1991-08-27	2560	A
USGS	07128500	1991-08-28	2910	A
USGS	07128500	1991-08-29	3310	A
USGS	07128500	1991-08-30	2990	A
USGS	07128500	1991-08-31	2320	A
USGS	07128500	1991-09-01	2490	A
USGS	07128500	1991-09-02	4160	A
USGS	07128500	1991-09-03	4020	A
USGS	07128500	1991-09-04	3320	A
USGS	07128500	1991-09-05	1660	A
USGS	07128500	1991-09-06	2320	A
USGS	07128500	1991-09-07	2770	A
USGS	07128500	1991-09-08	3170	A
USGS	07128500	1991-09-09	3460	A
USGS	07128500	1991-09-10	3680	A
USGS	07128500	1991-09-11	3970	A
USGS	07128500	1991-09-12	4130	A
USGS	07128500	1991-09-13	4230	A
USGS	07128500	1991-09-14	3880	A
USGS	07128500	1991-09-15	3130	A
USGS	07128500	1991-09-16	3120	A
USGS	07128500	1991-09-17	3180	A
USGS	07128500	1991-09-18	3230	A
USGS	07128500	1991-09-19	2660	A
USGS	07128500	1991-09-20	2320	A
USGS	07128500	1991-09-21	2660	A
USGS	07128500	1991-09-22	2700	A
USGS	07128500	1991-09-23	2610	A
USGS	07128500	1991-09-24	2830	A
USGS	07128500	1991-09-25	3260	A
USGS	07128500	1991-09-26	3490	A
USGS	07128500	1991-09-27	3650	A
USGS	07128500	1991-09-28	3890	A
USGS	07128500	1991-09-29	4380	A
USGS	07128500	1991-09-30	4420	A
